Siruta,Localitate,Cluster
49956,Vadu Pasii,1
50022,Valea Ramnicului,1
50068,Valea Salciei,2
50102,Vernesti,1
50228,Vintila Voda,3
50326,Viperesti,3
50399,Valcelele,2
50415,Zarnesti,3
50479,Ziduri,2
50549,Unguriu,3
50564,Florica,2
50790,Municipiul Resita,1
50889,Oras Anina,1
50923,Oras Baile Herculane,1
50969,Oras Bocsa,1
50987,Ocna De Fier,2
51010,Municipiul Caransebes,1
51056,Oras Moldova Noua,1
51118,Oras Oravita,1
51207,Oras Otelu Rosu,1
51243,Armenis,2
51305,Bania,2
51332,Bautar,3
51387,Berliste,2
51449,Berzasca,3
51500,Berzovia,3
51546,Bolvasnita,2
51573,Bozovici,1
51626,Brebu,2
51662,Brebu Nou,2
51699,Buchin,2
51751,Bucosnita,3
51804,Carasova,3
51840,Carbunari,3
51877,Constantin Daicoviciu,2
51948,Ciclova Romana,2
51984,Ciuchici,2
52035,Ciudanovita,2
52062,Copacele,2
52115,Cornea,3
52160,Cornereva,2
52570,Dalboset,2
52650,Doclin,3
52696,Dognecea,2
52721,Domasnea,2
52758,Ezeris,3
52785,Farliug,3
52856,Forotic,2
52909,Garnic,2
52936,Glimboca,3
52954,Goruia,2
52990,Gradinari,3
53023,Iablanita,2
53069,Lapusnicel,2
53103,Lapusnicu Mare,3
53130,Luncavita,2
53167,Lupac,2
53210,Marga,3
53247,Maureni,3
53274,Mehadia,3
53327,Mehadica,2
53345,Naidas,2
53372,Obreja,3
53425,Paltinis,3
53489,Coronini,3
53513,Pojejena,3
53577,Prigor,2
53639,Ramna,2
53675,Racasdia,3
53700,Eftimie Murgu,3
53728,Rusca Montana,3
53755,Sacu,2
53791,Sasca Montana,3
53853,Sichevita,3
54056,Slatina-Timis,3
54109,Socol,2
54163,Sopotu Nou,2
54270,Teregova,3
54305,Ticvaniu Mare,2
54350,Tarnova,2
54387,Toplet,3
54412,Turnu Ruieni,3
54485,Valiug,3
54500,Varadia,2
54537,Vermes,2
54573,Vrani,2
54617,Zavoi,2
54699,Zorlentu Mare,3
54975,Municipiul Cluj-Napoca,1
55008,Municipiul Dej,1
55062,Cuzdrioara,1
55106,Jichisu De Jos,2
55160,Mica,1
55259,Municipiul Turda,1
55277,Mihai Viteazu,1
55311,Sandulesti,1
55357,Municipiul Campia Turzii,1
55384,Municipiul Gherla,1
55446,Oras Huedin,1
55473,Aghiresu,1
55598,Aiton,3
55623,Alunis,2
55687,Apahida,1
55776,Aschileu,3
55838,Baciu,1
55918,Baisoara,3
56014,Belis,3
56096,Bobalna,3
56210,Bontida,1
56265,Borsa,3
56327,Buza,2
56354,Caianu,3
56425,Calarasi,3
56461,Calatele,3
56522,Camarasu,3
56568,Capusu Mare,3
56666,Caseiu,1
56773,Catina,3
56844,Ceanu Mare,1
56988,Chinteni,1
57083,Chiuiesti,3
57163,Ciucea,3
57225,Ciurila,1
57314,Catcau,2
57350,Cojocna,1
57449,Cornesti,3
57546,Dabaca,3
57582,Feleacu,1
57644,Fizesu Gherlii,3
57706,Floresti,1
57742,Frata,3
57831,Geaca,3
57902,Gilau,1
57948,Garbau,1
58008,Iara,1
58142,Iclod,3
58204,Izvoru Crisului,3
58259,Jucu,3
58311,Luna,1
58357,Maguri-Racatau,3
58393,Manastireni,3
58464,Margau,3
58534,Marisel,3
58552,Mintiu Gherlii,1
58623,Mociu,1
58721,Moldovenesti,3
58794,Palatca,2
58856,Panticeu,3
58918,Petrestii De Jos,3
58990,Ploscos,2
59041,Poieni,1
59130,Recea-Cristur,3
59238,Risca,3
59283,Sacuieu,3
59327,Savadisla,1
59416,Sic,1
59434,Sancraiu,1
59498,Sanmartin,2
59586,Sanpaul,3
59657,Suatu,3
59693,Tritenii De Jos,1
59764,Tureni,3
59826,Taga,3
59880,Unguras,3
59942,Vad,3
60026,Valea Ierii,3
60062,Viisoara,1
60099,Vultureni,2
60169,Negreni,3
60419,Municipiul Constanta,1
60455,Oras Eforie,1
60482,Municipiul Mangalia,1
60507,Oras Navodari,1
60534,Oras Techirghiol,1
60570,Agigea,1
60598,23-Aug,1
60632,Limanu,1
60687,Oras Ovidiu,1
60721,Tuzla,1
60776,Oras Cernavoda,1
60801,Oras Harsova,1
60847,Municipiul Medgidia,1
60883,Adamclisi,3
60945,Albesti,3
61005,Aliman,3
61069,Oras Baneasa,1
61121,Castelu,3
61167,Cerchezu,2
61210,Chirnogeni,3
61256,Ciobanu,3
61283,Ciocarlia,3
61318,Cobadin,1
61372,Cogealac,1
61452,Comana,2
61513,Corbu,1
61559,Crucea,3
61620,Cumpana,1
61675,Deleni,3
61737,Dobromir,2
61808,Garliciu,2
61826,Ghindaresti,2
61871,Independenta,2
61951,Ion Corvin,2
62020,Istria,3
62057,Lipnita,3
62137,Mereni,3
62191,Mihail Kogalniceanu,1
62253,Mihai Viteazu,3
62280,Mircea Voda,3
62360,Oras Murfatlar,1
62397,Oras Negru Voda,3
62440,Nicolae Balcescu,1
62486,Oltina,3
62538,Ostrov,2
62609,Pantelimon,3
62672,Pecineaga,2
62707,Pestera,3
62761,Poarta Alba,1
62798,Rasova,3
62823,Saraiu,2
62878,Sacele,3
62903,Seimeni,3
62949,Silistea,2
62985,Targusor,3
63045,Topalu,2
63072,Topraisar,1
63125,Valu Lui Traian,1
63152,Lumina,1
63161,Dumbraveni,2
63170,Vulturu,2
63189,Tortoman,3
63198,Amzacea,3
63278,Horia,2
63286,Costinesti,1
63294,Baraganu,3
63300,Cuza Voda,3
63318,Saligny,3
63326,Gradina,3
63334,Fantanele,3
63394,Municipiul Sfantu Gheorghe,1
63447,Oras Baraolt,1
63526,Oras Covasna,1
63553,Comandau,2
63580,Oras Intorsura Buzaului,1
63633,Barcani,3
63688,Sita Buzaului,3
63740,Municipiul Targu Secuiesc,1
63777,Aita Mare,3
63802,Batani,3
63866,Belin,3
63893,Bodoc,3
63937,Borosneu Mare,2
64005,Brates,2
64041,Bradut,3
64096,Bretcu,2
64130,Catalina,3
64194,Cernat,3
64238,Chichis,3
64265,Dobarlau,2
64318,Ghelinta,3
64345,Ghidfalau,1
64390,Haghig,2
64425,Ilieni,1
64461,Lemnia,2
64504,Malnas,2
64568,Moacsa,2
64602,Ojdula,3
64639,Ozun,1
64719,Poian,2
64773,Reci,3
64826,Sanzieni,3
64871,Turia,3
64906,Valea Crisului,1
64942,Valcele,2
64997,Varghis,2
65011,Zagon,3
65048,Zabala,3
65099,Valea Mare,2
65105,Mereni,3
65113,Arcus,1
65121,Bixad,3
65139,Micfalau,3
65147,Dalnic,2
65154,Estelnic,2
65342,Municipiul Targoviste,1
65379,Aninoasa,1
65413,Doicesti,3
65431,Razvad,1
65477,Sotanga,3
65501,Ulmi,1
65609,Oras Fieni,1
65645,Motaieni,3
65681,Oras Gaesti,3
65707,Gura Foii,3
65752,Petresti,3
65841,Municipiul Moreni,1
65869,Iedera,3
65921,Oras Pucioasa,1
66009,Branesti,3
66081,Oras Titu,1
66152,Branistea,3
66198,Baleni,1
66223,Barbuletu,2
66330,Bezdead,3
66401,Bilciuresti,2
66438,Buciumeni,3
66474,Bucsani,3
66526,Candesti,3
66580,Cobia,3
66697,Cojasca,2
66731,Comisani,3
66768,Contesti,3
66857,Corbii Mari,1
66955,Cornatelu,3
67014,Cornesti,1
67121,Costestii Din Vale,3
67167,Crangurile,2
67256,Darmanesti,1
67292,Dobra,3
67327,Dragodana,3
67407,Dragomiresti,3
67470,Finta,3
67522,Glodeni,3
67595,Gura Ocnitei,3
67648,Gura Sutii,1
67675,Hulubesti,2
67737,I. L. Caragiale,3
67773,Lucieni,3
67835,Ludesti,3
67906,Lunguletu,1
67942,Malu Cu Flori,3
68002,Manesti,3
68048,Matasaru,3
68128,Mogosani,3
68182,Moroeni,1
68253,Morteni,2
68280,Nucet,3
68324,Ocnita,3
68342,Odobesti,3
68404,Pietrosita,1
68431,Poiana,2
68468,Potlogi,3
68529,Produlesti,3
68565,Pucheni,2
68627,Oras Racari,1
68716,Runcu,3
68789,Salcioara,3
68887,Selaru,3
68921,Tatarani,3
68976,Uliesti,2
69063,Valea Lunga,3
69170,Valea Mare,3
69250,Vacaresti,3
69303,Valeni-Dambovita,3
69330,Visina,3
69394,Visinesti,2
69447,Varfuri,3
69526,Voinesti,1
69615,Vulcana-Bai,3
69900,Municipiul Craiova,1
69964,Bucovat,1
70094,Isalnita,1
70110,Podari,1
70174,Simnicu De Sus,1
70316,Municipiul Bailesti,1
70352,Municipiul Calafat,1
70414,Oras Filiasi,1
70502,Oras Segarcea,3
70520,Afumati,3
70566,Almaj,3
70637,Amarastii De Jos,3
70673,Amarastii De Sus,3
70726,Apele Vii,3
70744,Argetoaia,3
70879,Oras Bechet,3
70897,Bistret,2
70940,Barca,3
70968,Botosesti-Paia,2
70986,Brabova,2
71055,Bradesti,3
71126,Bralostita,2
71199,Bratovoesti,3
71260,Breasta,1
71340,Bulzesti,3
71457,Calopar,3
71518,Caraula,3
71536,Carpen,2
71572,Castranova,3
71607,Calarasi,3
71634,Celaru,3
71698,Cerat,3
71723,Cernatesti,2
71787,Cetate,3
71812,Cioroiasi,2
71858,Ciupercenii Noi,3
71885,Cosoveni,3
71910,Cotofenii Din Dos,3
71956,Daneti,3
72007,Oras Dabuleni,1
72034,Desa,3
72052,Diosti,3
72098,Dobresti,2
72150,Dragotesti,2
72221,Dranic,2
72276,Farcas,2
72383,Galicea Mare,3
72409,Ghercesti,3
72463,Gighera,3
72506,Giubega,2
72533,Giurgita,2
72579,Gangiova,2
72604,Gogosu,2
72640,Goicea,3
72677,Goiesti,3
72819,Grecesti,2
72882,Izvoare,2
72926,Leu,3
72953,Lipovu,2
72980,Macesu De Jos,2
73013,Macesu De Sus,3
73031,Maglavit,1
73068,Malu Mare,1
73102,Melinesti,3
73246,Mischii,1
73317,Marsani,1
73335,Motatei,3
73371,Murgasi,3
73460,Negoi,2
73503,Orodel,3
73567,Ostroveni,3
73594,Perisor,3
73629,Pielesti,3
73665,Piscu Vechi,3
73709,Plenita,3
73736,Poiana Mare,1
73772,Predesti,3
73852,Radovan,3
73905,Rast,3
73923,Robanesti,3
73996,Sadova,2
74028,Salcuta,2
74073,Scaesti,2
