Country_Number,Country_Name,Three_Letter_Country_Code,FR,IM,LE,LEF,LEM,MMR,RS
112,"Belarus, Republic of",BLR,1.6489,3.43,72.446,77.95,66.84,4.2593,0.04
116,"Cambodia, Kingdom of",KHM,2.7,29.974,67.612,69.55,65.5,160.538,1.622
120,"Cameroon, Republic of",CMR,4.95,70.656,56.278,57.65,54.92,596.4439,2.715
124,Canada,CAN,1.601,4.647,81.787,83.85,79.65,7.0046,1.071
132,"Cape Verde, Republic of",CPV,2.497,20.577,71.531,74.95,67.91,42.3483,1.262
140,Central African Republic,CAF,5.1,90.287,48.913,50.51,47.31,882.0657,0.479
144,"Sri Lanka, Democratic Socialist Republic of",LKA,2.2135,8.776,75.888,79.31,72.45,30.2936,0.628
148,"Chad, Republic of",TCD,6.31,84.06,52.27,53.67,50.89,856.2483,3.321
152,"Chile, Republic of",CHL,1.85,7.197,79.288,82.1,76.33,22.108,1.036
156,"China, People's Republic of",CHN,1.64,12.276,75.14,77.45,73.07,26.6851,0.548
170,"Colombia, Republic of",COL,1.92,14.438,75.993,78.88,73.08,64.3258,0.991
174,"Comoros, Union of the",COM,4.6,58.061,62.825,64.5,61.2,335.2317,2.395
178,"Congo, Republic of the",COG,4.7,41.417,61.656,62.74,60.51,441.9968,2.555
180,"Congo, Democratic Republic of the",COD,6.4,73.145,58.101,59.53,56.67,693.3502,3.326
188,"Costa Rica, Republic of",CRI,1.8507,9.333,79.158,81.69,76.7,25.1496,1.148
191,"Croatia, Republic of",HRV,1.488,4.261,77.449,80.62,74.21,8.4798,-0.445
192,"Cuba, Republic of",CUB,1.706,4.802,78.458,80.43,76.51,39.1641,0.176
196,"Cyprus, Republic of",CYP,1.38,4.193,79.925,82.17,77.69,6.9296,0.851
203,Czech Republic,CZE,1.4789,2.528,78.161,81.15,75.11,4.4151,0.123
204,"Benin, Republic of",BEN,5.2202,67.66,59.931,61.36,58.46,404.9432,2.789
208,"Denmark, Kingdom of",DNK,1.73,3.507,80.143,82.16,78.1,6.4969,0.476
214,Dominican Republic,DOM,2.45,27.494,72.618,75.86,69.62,92.0766,1.175
218,"Ecuador, Republic of",ECU,2.56,15.073,75.586,78.48,72.81,63.7794,1.539
222,"El Salvador, Republic of",SLV,2.17,17.708,71.818,76.32,67.04,54.0803,0.452
